"Time stamp","Interruptor Principal   (V)"
"2019-09-03 19:30","124.07"
"2019-09-03 19:45","124.2"
"2019-09-03 20:00","125.07"
"2019-09-03 20:15","125.33"
"2019-09-03 20:30","125.58"
"2019-09-03 20:45","126.1"
"2019-09-03 21:00","125.52"
"2019-09-03 21:15","126.84"
"2019-09-03 21:30","126.65"
"2019-09-03 21:45","126.49"
"2019-09-03 22:00","125.85"
"2019-09-03 22:15","126.12"
"2019-09-03 22:30","126.26"
"2019-09-03 22:45","126.62"
"2019-09-03 23:00","126.86"
"2019-09-03 23:15","126.05"
"2019-09-03 23:30","126.28"
"2019-09-03 23:45","126.49"
"2019-09-04 00:00","126.35"
"2019-09-04 00:15","126.43"
"2019-09-04 00:30","126.51"
"2019-09-04 00:45","126.53"
"2019-09-04 01:00","126.47"
"2019-09-04 01:15","126.25"
"2019-09-04 01:30","126.22"
"2019-09-04 01:45","126.06"
"2019-09-04 02:00","126.02"
"2019-09-04 02:15","126.15"
"2019-09-04 02:30","126.14"
"2019-09-04 02:45","126.39"
"2019-09-04 03:00","126.29"
"2019-09-04 03:15","126.22"
"2019-09-04 03:30","126.38"
"2019-09-04 03:45","126.58"
"2019-09-04 04:00","126.39"
"2019-09-04 04:15","126.25"
"2019-09-04 04:30","126.36"
"2019-09-04 04:45","126.43"
"2019-09-04 05:00","126.02"
"2019-09-04 05:15","126.64"
"2019-09-04 05:30","126.63"
"2019-09-04 05:45","126.58"
"2019-09-04 06:00","126.27"
"2019-09-04 06:15","125.9"
"2019-09-04 06:30","125.73"
"2019-09-04 06:45","125.45"
"2019-09-04 07:00","125.39"
"2019-09-04 07:15","125.18"
"2019-09-04 07:30","125.05"
"2019-09-04 07:45","124.73"
"2019-09-04 08:00","124.46"
"2019-09-04 08:15","123.94"
"2019-09-04 08:30","123.83"
"2019-09-04 08:45","124.18"
"2019-09-04 09:00","124.02"
"2019-09-04 09:15","123.92"
"2019-09-04 09:30","124.18"
"2019-09-04 09:45","124.19"
"2019-09-04 10:00","124.03"
"2019-09-04 10:15","124.14"
"2019-09-04 10:30","123.88"
"2019-09-04 10:45","123.81"
"2019-09-04 11:00","124.22"
"2019-09-04 11:15","124.26"
"2019-09-04 11:30","124.33"
"2019-09-04 11:45","124.25"
"2019-09-04 12:00","124.12"
"2019-09-04 12:15","123.78"
"2019-09-04 12:30","123.75"
"2019-09-04 12:45","123.9"
"2019-09-04 13:00","123.28"
"2019-09-04 13:15","123.03"
"2019-09-04 13:30","123.26"
"2019-09-04 13:45","123.4"
"2019-09-04 14:00","123.64"
